"Source","Unit","Year","Invdate.fuels","Invdate.trees","PlotID","InvID.fuels","count.ha_Live_ABCO","count.ha_Live_CADE","count.ha_Live_LIDE","count.ha_Live_OTHER","count.ha_Live_PILA","count.ha_Live_PIPO","count.ha_Live_PSME","count.ha_Live_QUKE","count.ha_Live_(all)","count.ha_Snag_ABCO","count.ha_Snag_CADE","count.ha_Snag_LIDE","count.ha_Snag_OTHER","count.ha_Snag_PILA","count.ha_Snag_PIPO","count.ha_Snag_PSME","count.ha_Snag_QUKE","count.ha_Snag_(all)","count.ha_(all)_(all)","BA.mha.sum_Live_ABCO","BA.mha.sum_Live_CADE","BA.mha.sum_Live_LIDE","BA.mha.sum_Live_OTHER","BA.mha.sum_Live_PILA","BA.mha.sum_Live_PIPO","BA.mha.sum_Live_PSME","BA.mha.sum_Live_QUKE","BA.mha.sum_Live_(all)","BA.mha.sum_Snag_ABCO","BA.mha.sum_Snag_CADE","BA.mha.sum_Snag_LIDE","BA.mha.sum_Snag_OTHER","BA.mha.sum_Snag_PILA","BA.mha.sum_Snag_PIPO","BA.mha.sum_Snag_PSME","BA.mha.sum_Snag_QUKE","BA.mha.sum_Snag_(all)","BA.mha.sum_(all)_(all)","pBA_Live_ABCO","pBA_Live_CADE","pBA_Live_LIDE","pBA_Live_OTHER","pBA_Live_PILA","pBA_Live_PIPO","pBA_Live_PSME","pBA_Live_QUKE","pBA_Live_(all)","pBA_Snag_ABCO","pBA_Snag_CADE","pBA_Snag_LIDE","pBA_Snag_OTHER","pBA_Snag_PILA","pBA_Snag_PIPO","pBA_Snag_PSME","pBA_Snag_QUKE","pBA_Snag_(all)","pBA_(all)_(all)","pBA_ABCO_(all)","pBA_CADE_(all)","pBA_LIDE_(all)","pBA_OTHER_(all)","pBA_PILA_(all)","pBA_PIPO_(all)","pBA_PSME_(all)","pBA_QUKE_(all)","fuelload_litter_tonha","fuelload_duff_tonha","fuelload_litterduff_tonha","fuelload_1h_tonha","fuelload_10h_tonha","fuelload_100h_tonha","fuelload_1000s_tonha","fuelload_1000r_tonha","fuelload_1000h_tonha","fuelload_1.100h_tonha","fuelload_1.1000h_tonha","fuelload_total_tonha","fuelload_surface_tonha","Treatment","disturbance","Timestep","C_litter_tonha","C_duff_tonha","C_litterduff_tonha","C_1h_tonha","C_10h_tonha","C_100h_tonha","C_1000h_tonha","C_1.100h_tonha","C_1.1000h_tonha","C_surface_tonha","C_total_tonha"
"BFRS","0040",2016,2016-07-13,2016-07-13,"0040-00003",7050,98.838645910551,98.838645910551,0,0,24.7096614776378,24.7096614776378,148.257968865827,0,395.354583642204,0,0,0,0,0,0,0,0,0,395.354583642204,19.433677949256,11.9745482069201,0,0,16.3169323902805,16.6805297511154,3.46919961226426,0,67.8748879098362,0,0,0,0,0,0,0,0,0,67.8748879098362,0.286316170054989,0.176420891078698,0,0,0.240397190960456,0.245754067001533,0.0511116809043233,0,1,0,0,0,0,0,0,0,0,0,1,0.286316170054989,0.176420891078698,0,0,0.240397190960456,0.245754067001533,0.0511116809043233,0,37.0121056215839,150.133398115132,214.936697450614,0.149110963782917,1.62992939374878,0,0,0,0,1.77904035753169,1.77904035753169,188.924544094248,38.7911459791156,"Control","None","Post_14",13.6944790799861,55.5493573025989,79.5265780567272,0.0745554818914585,0.814964696874388,0,0,0.889520178765846,0.889520178765846,14.5839992587519,70.1333565613508
"BFRS","0040",2016,2016-07-18,2016-07-18,"0040-00005",7051,172.967630343464,148.257968865827,0,0,0,24.7096614776378,123.548307388189,0,469.483568075117,24.7096614776378,0,0,0,0,0,0,0,24.7096614776378,494.193229552755,26.1474581430208,20.7637381297484,0,0,0,16.0468636894123,11.5146676606574,0,74.4727276228389,1.0141661924116,0,0,0,0,0,0,0,1.0141661924116,75.4868938152505,0.346384078367499,0.2750641479641,0,0,0,0.212578142752648,0.152538633909601,0,0.986565002993848,0.0134349970061519,0,0,0,0,0,0,0,0.0134349970061519,1,0.359819075373651,0.2750641479641,0,0,0,0.212578142752648,0.152538633909601,0,37.9423256187148,43.0388311392961,103.586761367417,0.194878011108226,1.0356652183532,1.79886754561102,6.34739033634582,0,6.34739033634582,3.02941077507244,9.37680111141826,90.3579578694291,47.3191267301331,"Control","None","Post_14",14.0386604789245,15.9243675215395,38.3271017059444,0.0974390055541132,0.517832609176598,0.89943377280551,3.17369516817291,1.51470538753622,4.68840055570913,18.7270610346336,34.6514285561731
"BFRS","0040",2016,2016-07-21,2016-07-21,"0040-00007",7052,271.806276254015,49.4193229552755,0,0,0,24.7096614776378,197.677291821102,98.838645910551,642.451198418582,0,0,0,0,0,0,0,0,0,642.451198418582,26.5874309825435,2.20186748885807,0,0,0,2.08354809974338,15.5538036319164,2.23091521189998,48.6575654149614,0,0,0,0,0,0,0,0,0,48.6575654149614,0.546419261954449,0.0452523152377252,0,0,0,0.0428206401609795,0.319658484744777,0.0458492979020691,1,0,0,0,0,0,0,0,0,0,1,0.546419261954449,0.0452523152377252,0,0,0,0.0428206401609795,0.319658484744777,0.0458492979020691,44.5831389547914,10.2481294889108,80.5762784023251,0.637774713033177,6.76949307305967,0,18.7620808109335,0,18.7620808109335,7.40726778609285,26.1693485970263,81.0006170407286,70.7524875518178,"Control","None","Post_14",16.4957614132728,3.79180791089699,29.8132230088603,0.318887356516588,3.38474653652984,0,9.38104040546674,3.70363389304642,13.0846742985132,29.580435711786,33.372243622683
"BFRS","0040",2016,2016-07-21,2016-07-21,"0040-00012",7053,24.7096614776378,518.902891030393,0,0,0,0,49.4193229552755,98.838645910551,691.870521373857,0,0,0,0,0,0,0,0,0,691.870521373857,0.613507943557633,26.5809202859996,0,0,0,0,8.97173983746239,28.0619785440289,64.2281466110485,0,0,0,0,0,0,0,0,0,64.2281466110485,0.00955201069825198,0.413851585146428,0,0,0,0,0.139685485427336,0.436910918727984,1,0,0,0,0,0,0,0,0,0,1,0.00955201069825198,0.413851585146428,0,0,0,0,0.139685485427336,0.436910918727984,35.8139935346436,153.577880918475,217.634616381503,0.461036556000625,2.46280736107978,5.69948986330465,5.60743554955335,3.28324299881361,8.89067854836696,8.62333378038505,17.514012328752,206.90588678187,53.3280058633956,"Control","None","Post_14",13.2511776078181,56.8238159398356,80.5248080611563,0.230518278000312,1.23140368053989,2.84974493165232,4.44533927418348,4.31166689019253,8.757006164376,22.0081837721941,78.8319997120297
"BFRS","0040",2016,2016-07-18,2016-07-18,"0040-00101",7054,345.935260686929,49.4193229552755,0,0,0,0,24.7096614776378,148.257968865827,568.322213985668,0,0,0,0,0,0,0,0,0,568.322213985668,13.5828154589605,2.04961735429356,0,0,0,0,1.54265946379053,46.1554546508684,63.3305469279129,0,0,0,0,0,0,0,0,0,63.3305469279129,0.214474943259551,0.0323638031521593,0,0,0,0,0.0243588526962587,0.728802400892031,1,0,0,0,0,0,0,0,0,0,1,0.214474943259551,0.0323638031521593,0,0,0,0,0.0243588526962587,0.728802400892031,32.6040424786778,135.002142151847,223.356161469508,0.452977055047081,1.49912290224809,1.56588156250011,5.57878052547605,12.8850948954864,18.4638754209624,3.51798151979527,21.9818569407577,189.588041571282,54.5858994194355,"Control","None","Post_14",12.0634957171108,49.9507925961834,82.6417797437181,0.22648852752354,0.749561451124043,0.782940781250053,9.23193771048122,1.75899075989764,10.9909284703789,23.0544241874897,73.005216783673
"BFRS","0040",2016,2016-07-18,2016-07-18,"0040-00103",7055,123.548307388189,49.4193229552755,197.677291821102,0,0,24.7096614776378,24.7096614776378,0,420.064245119842,0,0,0,0,0,0,0,0,0,420.064245119842,33.0311424754402,28.6557039865493,8.03895735184926,0,0,16.772055119838,2.5603314158796,0,89.0581903495564,0,0,0,0,0,0,0,0,0,89.0581903495564,0.37089393289704,0.321763825135844,0.0902663451872992,0,0,0.188326924834281,0.028748971945536,0,1,0,0,0,0,0,0,0,0,0,1,0.37089393289704,0.321763825135844,0.0902663451872992,0,0,0.188326924834281,0.028748971945536,0,17.3277523027717,8.92621131657048,38.0016406180207,0.17713150662556,4.0336585549663,3.6645281254807,17.7499249385491,38.1874376532017,55.9373625917508,7.87531818707256,63.8126807788234,90.0666443981656,81.1404330815951,"Control","None","Post_14",6.41126835202553,3.30269818713108,14.0606070286676,0.08856575331278,2.01682927748315,1.83226406274035,27.9686812958754,3.93765909353628,31.9063403894117,38.3176087414372,41.6203069285683
"BFRS","0040",2016,2016-07-18,2016-07-18,"0040-00104",7056,0,0,74.1289844329133,0,0,24.7096614776378,0,0,98.838645910551,0,0,0,0,0,0,0,0,0,98.838645910551,0,0,2.07803904882164,0,0,23.1505344415931,0,0,25.2285734904147,0,0,0,0,0,0,0,0,0,25.2285734904147,0,0,0.082368471987176,0,0,0.917631528012824,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.082368471987176,0,0,0.917631528012824,0,0,13.4857834676199,95.3895374186712,144.61305409212,0.504137369570268,3.29002278965655,1.89411374074807,2.30361748881991,8.68613081328621,10.9897483021061,5.68827389997488,16.678022202081,125.553343088372,30.1638056697009,"Control","None","Post_14",4.98973988301935,35.2941288449084,53.5068300140846,0.252068684785134,1.64501139482827,0.947056870374033,5.49487415105306,2.84413694998744,8.3390111010405,13.3287509840599,48.6228798289682
"BFRS","0040",2016,2016-07-15,2016-07-15,"0040-00106",7057,49.4193229552755,123.548307388189,0,0,0,24.7096614776378,172.967630343464,0,370.644922164566,74.1289844329133,0,0,0,0,0,0,0,74.1289844329133,444.77390659748,17.8239082287824,6.35105927284916,0,0,0,16.3169323902805,19.1946602626741,0,59.6865601545861,7.33567691940778,0,0,0,0,0,0,0,7.33567691940778,67.0222370739939,0.265940216365868,0.0947604787622572,0,0,0,0.24345550227257,0.286392413930958,0,0.890548611331653,0.109451388668347,0,0,0,0,0,0,0,0.109451388668347,1,0.375391605034215,0.0947604787622572,0,0,0,0.24345550227257,0.286392413930958,0,15.2791523810894,113.987525294556,137.848940118103,0.260183734450946,2.15649858135837,4.96254410239693,0,3.23294020257404,3.23294020257404,7.37922641820625,10.6121666207803,139.878844296426,25.8913190018697,"Control","None","Post_14",5.65328638100307,42.1753843589858,51.004107843698,0.130091867225473,1.07824929067919,2.48127205119847,1.61647010128702,3.68961320910313,5.30608331039014,10.9593696913932,53.134754050379
"BFRS","0040",2016,2016-07-15,2016-07-15,"0040-00107",7058,148.257968865827,24.7096614776378,0,0,0,0,123.548307388189,0,296.515937731653,98.838645910551,24.7096614776378,0,0,0,0,0,0,123.548307388189,420.064245119842,26.6133485630163,5.62724510515392,0,0,0,0,13.5188353448466,0,45.7594290130168,13.0551986275009,1.80296211984284,0,0,0,0,0,0,14.8581607473437,60.6175897603605,0.439036732872864,0.0928318847285105,0,0,0,0,0.223018358174427,0,0.754886975775802,0.215369807330051,0.0297432168941472,0,0,0,0,0,0,0.245113024224198,1,0.654406540202915,0.122575101622658,0,0,0,0,0.223018358174427,0,7.89600065459863,128.923703749876,142.990647452204,0.559501746603903,2.01794081822566,3.03140166591419,4.971438453872,10.3402478162555,15.3116862701275,5.60884423074376,20.9205305008713,157.740234905346,28.8165311554699,"Control","None","Post_14",2.92152024220149,47.7017703874541,52.9065395573156,0.279750873301951,1.00897040911283,1.51570083295709,7.65584313506376,2.80442211537188,10.4602652504356,13.3817854926371,61.0835558800913
"BFRS","0040",2016,2016-07-15,2016-07-15,"0040-00108",7059,49.4193229552755,49.4193229552755,0,0,24.7096614776378,0,24.7096614776378,247.096614776378,395.354583642204,0,0,0,0,0,0,0,0,0,395.354583642204,8.95972008999677,11.96277887086,0,0,0.649066363143422,0,2.28187393292609,4.6124528842285,28.4658921411548,0,0,0,0,0,0,0,0,0,28.4658921411548,0.314752829300691,0.420249567852634,0,0,0.0228015464937784,0,0.0801616868921897,0.162034369460706,1,0,0,0,0,0,0,0,0,0,1,0.314752829300691,0.420249567852634,0,0,0.0228015464937784,0,0.0801616868921897,0.162034369460706,18.4470193219135,155.723647340567,183.542607357677,0.0887707564770402,1.70432361143462,7.37620992936121,0,0,0,9.16930429727288,9.16930429727288,183.339970959754,27.6163236191864,"Control","None","Post_14",6.82539714910799,57.6177495160099,67.9107647223406,0.0443853782385201,0.852161805717311,3.68810496468061,0,4.58465214863644,4.58465214863644,11.4100492977444,69.0277988137543
